calcLookAngle__18dEnTorideKokoopa_cFv	0x800AA400	124	0-B-UNWRITTEN
executeState_StarHit__18dEnTorideKokoopa_cFv	0x800AD160	124	0-B-UNWRITTEN
executeState_SlideHit__18dEnTorideKokoopa_cFv	0x800AD320	124	0-B-UNWRITTEN
executeState_ShellHit__18dEnTorideKokoopa_cFv	0x800AD470	124	0-B-UNWRITTEN
wandCcCallback__18dEnTorideKokoopa_cFP5dCc_cP5dCc_c	0x800AA220	120	0-B-UNWRITTEN
executeState_DemoAwake_Wait__18dEnTorideKokoopa_cFv	0x800AE830	120	0-B-UNWRITTEN
executeState_DemoIkaku_Wait__18dEnTorideKokoopa_cFv	0x800AEB80	120	0-B-UNWRITTEN
postExecute__18dEnTorideKokoopa_cFQ27fBase_c12MAIN_STATE_e	0x800A8D90	116	0-B-UNWRITTEN
initializeState_AttackBegin__18dEnTorideKokoopa_cFv	0x800AC310	116	0-B-UNWRITTEN
calcDirAngle__18dEnTorideKokoopa_cFs	0x800AA620	108	0-B-UNWRITTEN
shellBumMarEffect__18dEnTorideKokoopa_cFv	0x800AAB80	104	0-B-UNWRITTEN
executeState_DemoWait__18dEnTorideKokoopa_cFv	0x800AE510	100	0-B-UNWRITTEN
isTorideBoss__18dEnTorideKokoopa_cFv	0x800AA7F0	96	0-B-UNWRITTEN
changeShell__18dEnTorideKokoopa_cFv	0x800AA480	84	84B_1diffs
getFumiRev__12FumiCcInfo_cFv	0x800B07B0	80	0-B-UNWRITTEN
hitCallback_PenguinSlide__18dEnTorideKokoopa_cFP5dCc_cP5dCc_c	0x800A9140	76	0-B-UNWRITTEN
initializeState_QuakeHit__18dEnTorideKokoopa_cFv	0x800AD1E0	76	0-B-UNWRITTEN
executeState_DieShell__18dEnTorideKokoopa_cFv	0x800AE3C0	76	76B_1diffs
__dt__21MugenComboFumiCheck_cFv	0x800B09E0	64	0-B-UNWRITTEN
operate__21MugenComboFumiCheck_cFRiP5dEn_cR12FumiCcInfo_c	0x800B0800	60	0-B-UNWRITTEN
getTurnSpeed__18dEnTorideKokoopa_cFv	0x800AA5E0	52	0-B-UNWRITTEN
getLookatPos__18dEnTorideKokoopa_cCFv	0x800AED20	20	20B_2diffs
getTorideFunfareTime__18dEnTorideKokoopa_cFv	0x800AA5D0	8	0-B-UNWRITTEN
calcKokoopaMdl__18dEnTorideKokoopa_cFv	0x800A8F90	4	0-B-UNWRITTEN
