addr       target                  size  result
0x800c7500 "finalizeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"     4  MATCH  <- "finalizeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"
0x800c7510 "changeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>FRC12sStateIDIf_c"     4  MATCH  <- "changeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>FRC12sStateIDIf_c"
0x800c7520 "refreshState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"     4  MATCH  <- "refreshState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"
0x800c7530 "getState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"     4  MATCH  <- "getState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
0x800c7540 "getNewStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"     4  MATCH  <- "getNewStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
0x800c7550 "getStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"     4  MATCH  <- "getStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
0x800c7560 "getOldStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"     4  MATCH  <- "getOldStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
0x800c7570 "finalizeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"    12  MATCH  <- "finalizeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"
0x800c75a0 "executeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"    12  MATCH  <- "executeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"
0x800c75d0 "initializeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"    12  MATCH  <- "initializeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"
0x800c88b0 "__dt__25sFStateID_c<10dLineMng_c>Fv"    22  MATCH  <- "__dt__25sFStateID_c<10dLineMng_c>Fv"
0x800c8910 "isSameName__25sFStateID_c<10dLineMng_c>CFPCc"    34  MATCH  <- "isSameName__25sFStateID_c<10dLineMng_c>CFPCc"

181/181 byte-identical modulo symbol names

FUNCTION ORDER IS WRONG -- the draft defines these out of order.
The linker places .text in definition order, so this will not link
even at 181/181. Target order:
  0x800c0dc0  __ct__10dLineMng_cFv
  0x800c0ed0  "__dt__77sFStateStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"
  0x800c0f60  "__dt__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"   <-- defined too late
  0x800c0ff0  "__dt__49sFStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c>Fv"   <-- defined too late
  0x800c1060  "__dt__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"   <-- defined too late
  0x800c10c0  __dt__Q23EGG8Vector2fFv   <-- defined too late
  0x800c1100  __dt__7mVec2_cFv   <-- defined too late
  0x800c1140  init__10dLineMng_cFRC7mVec2_cfiUc
  0x800c1260  "changeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>FRC12sStateIDIf_c"
  0x800c1280  move__10dLineMng_cFv
  0x800c12e0  "executeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"
  0x800c1300  GetPos__10dLineMng_cCFv
  0x800c1320  SetPos__10dLineMng_cFRC7mVec2_c
  0x800c1340  CalcAdjustPosY__10dLineMng_cFff
  0x800c1540  "getStateID__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"
  0x800c1560  SetBaseSpeed__10dLineMng_cFf
  0x800c1580  acm_angle__10dLineMng_cCFv
  0x800c15b0  setArrElem_800C15B0__FP7mVec2_cPC7mVec2_ci
  0x800c15d0  start_line_move__10dLineMng_cFv
  0x800c1750  is_unit_circle2x2__10dLineMng_cFUl
  0x800c1790  is_unit_circle4x4__10dLineMng_cFUl
  0x800c17d0  change_dir__10dLineMng_cFv
  0x800c17f0  getLineUnitNo__10dLineMng_cFff
  0x800c1860  init_term_ck_pos__10dLineMng_cFv
  0x800c1900  check_term__10dLineMng_cFv
  0x800c1a30  line_cross_slope_check__10dLineMng_cFRC7mVec2_cRC7mVec2_cRfRf
  0x800c1a90  line_cross_range_check__10dLineMng_cFfff
  0x800c1ae0  line_cross_chk1__10dLineMng_cFffRC7mVec2_c7mVec2_c7mVec2_cR7mVec2_c
  0x800c1cd0  line_cross_chk2__10dLineMng_cFfRC7mVec2_c7mVec2_c7mVec2_cRf
  0x800c1e60  line_cross_chk3__10dLineMng_cFfRC7mVec2_cRC7mVec2_c
  0x800c1ee0  fn_800C1EE0__FP10dLineMng_cffRC7mVec2_cRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c1f70  height_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2080  width_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c20c0  line0_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2140  line1_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c21b0  line3h_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2210  line3v_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2270  line4_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c22d0  line5_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2330  line7_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c23b0  line8_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2440  line9_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c24b0  lineA_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2540  lineB_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c25d0  lineC_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2660  lineD_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c26e0  lineE_cross_chk__10dLineMng_cFRC7mVec2_cRC7mVec2_cRC7mVec2_c
  0x800c2750  lineF_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c2840  circle_ul2_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c2980  circle_ur2_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c2ab0  circle_dl2_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c2be0  circle_dr2_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c2d00  lineRHUR_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c2e30  lineRHUL_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c2f70  lineRHLL_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c30a0  lineRHLR_cross_chk__10dLineMng_cFRC7mVec2_c7mVec2_c7mVec2_c
  0x800c31c0  fn_800C31C0__FP10dLineMng_c
  0x800c3a60  circle_nextpos_set__10dLineMng_cFRC7mVec2_cf
  0x800c3b20  fn_800C3B20__FP10dLineMng_c
  0x800c3b60  fn_800C3B60__FP10dLineMng_c
  0x800c3ba0  fn_800C3BA0__FUs
  0x800c3bf0  fn_800C3BF0__FUs
  0x800c3c10  calc_rotate_to_circle_rev__10dLineMng_cFUsb
  0x800c3c80  calc_rotate_to_circle_prev__10dLineMng_cFUsb
  0x800c3cf0  mov_to_rightupper__10dLineMng_cFUlRC7mVec2_cb
  0x800c40b0  mov_to_rightlower__10dLineMng_cFUlRC7mVec2_cb
  0x800c43f0  mov_to_leftupper__10dLineMng_cFUlRC7mVec2_cb
  0x800c47d0  mov_to_leftlower__10dLineMng_cFUlRC7mVec2_cb
  0x800c4ba0  mov_frm_rightupper__10dLineMng_cFRC7mVec2_cb
  0x800c4ca0  mov_frm_leftlower__10dLineMng_cFRC7mVec2_cb
  0x800c4da0  mov_frm_rightlower__10dLineMng_cFRC7mVec2_cb
  0x800c4ea0  mov_frm_leftupper__10dLineMng_cFRC7mVec2_cb
  0x800c4fa0  move_on_circle_speedset__10dLineMng_cFff
  0x800c50d0  move_on_circle1__10dLineMng_cFff
  0x800c51f0  move_on_circle2__10dLineMng_cFff
  0x800c5330  move_on_circle3__10dLineMng_cFff
  0x800c5460  move_on_circle4__10dLineMng_cFff
  0x800c55a0  initializeState_Idle__10dLineMng_cFv
  0x800c55b0  finalizeState_Idle__10dLineMng_cFv
  0x800c55c0  executeState_Idle__10dLineMng_cFv
  0x800c55d0  initializeState_FallDown__10dLineMng_cFv
  0x800c55e0  finalizeState_FallDown__10dLineMng_cFv
  0x800c55f0  executeState_FallDown__10dLineMng_cFv
  0x800c5630  initializeState_Left45__10dLineMng_cFv
  0x800c5690  finalizeState_Left45__10dLineMng_cFv
  0x800c56a0  executeState_Left45__10dLineMng_cFv
  0x800c5790  initializeState_Right45__10dLineMng_cFv
  0x800c57e0  finalizeState_Right45__10dLineMng_cFv
  0x800c57f0  executeState_Right45__10dLineMng_cFv
  0x800c58e0  initializeState_Side__10dLineMng_cFv
  0x800c5930  finalizeState_Side__10dLineMng_cFv
  0x800c5940  executeState_Side__10dLineMng_cFv
  0x800c5a10  initializeState_Height__10dLineMng_cFv
  0x800c5a60  finalizeState_Height__10dLineMng_cFv
  0x800c5a70  executeState_Height__10dLineMng_cFv
  0x800c5b40  initializeState_CornerHeightLine__10dLineMng_cFv
  0x800c5b90  finalizeState_CornerHeightLine__10dLineMng_cFv
  0x800c5ba0  executeState_CornerHeightLine__10dLineMng_cFv
  0x800c5c80  initializeState_CornerSideLine__10dLineMng_cFv
  0x800c5cd0  finalizeState_CornerSideLine__10dLineMng_cFv
  0x800c5ce0  executeState_CornerSideLine__10dLineMng_cFv
  0x800c5dc0  initializeState_Left30Left__10dLineMng_cFv
  0x800c5e30  finalizeState_Left30Left__10dLineMng_cFv
  0x800c5e40  executeState_Left30Left__10dLineMng_cFv
  0x800c5fd0  initializeState_Left30Right__10dLineMng_cFv
  0x800c6040  finalizeState_Left30Right__10dLineMng_cFv
  0x800c6050  executeState_Left30Right__10dLineMng_cFv
  0x800c61e0  initializeState_Right30Left__10dLineMng_cFv
  0x800c6240  finalizeState_Right30Left__10dLineMng_cFv
  0x800c6250  executeState_Right30Left__10dLineMng_cFv
  0x800c63f0  initializeState_Right30Right__10dLineMng_cFv
  0x800c6450  finalizeState_Right30Right__10dLineMng_cFv
  0x800c6460  executeState_Right30Right__10dLineMng_cFv
  0x800c6600  initializeState_Left60Up__10dLineMng_cFv
  0x800c6670  finalizeState_Left60Up__10dLineMng_cFv
  0x800c6680  executeState_Left60Up__10dLineMng_cFv
  0x800c6820  initializeState_Left60Down__10dLineMng_cFv
  0x800c6890  finalizeState_Left60Down__10dLineMng_cFv
  0x800c68a0  executeState_Left60Down__10dLineMng_cFv
  0x800c6a40  initializeState_Right60Down__10dLineMng_cFv
  0x800c6ab0  finalizeState_Right60Down__10dLineMng_cFv
  0x800c6ac0  executeState_Right60Down__10dLineMng_cFv
  0x800c6c60  initializeState_Right60Up__10dLineMng_cFv
  0x800c6cc0  finalizeState_Right60Up__10dLineMng_cFv
  0x800c6cd0  executeState_Right60Up__10dLineMng_cFv
  0x800c6e70  initializeState_Circle__10dLineMng_cFv
  0x800c6eb0  finalizeState_Circle__10dLineMng_cFv
  0x800c6ec0  executeState_Circle__10dLineMng_cFv
  0x800c6f50  initializeState_Circle2x2Leftup__10dLineMng_cFv
  0x800c6f90  finalizeState_Circle2x2Leftup__10dLineMng_cFv
  0x800c6fa0  executeState_Circle2x2Leftup__10dLineMng_cFv
  0x800c6fb0  initializeState_Circle2x2Rightup__10dLineMng_cFv
  0x800c6ff0  finalizeState_Circle2x2Rightup__10dLineMng_cFv
  0x800c7000  executeState_Circle2x2Rightup__10dLineMng_cFv
  0x800c7010  initializeState_Circle2x2LeftDown__10dLineMng_cFv
  0x800c7050  finalizeState_Circle2x2LeftDown__10dLineMng_cFv
  0x800c7060  executeState_Circle2x2LeftDown__10dLineMng_cFv
  0x800c7070  initializeState_Circle2x2RightDown__10dLineMng_cFv
  0x800c70b0  finalizeState_Circle2x2RightDown__10dLineMng_cFv
  0x800c70c0  executeState_Circle2x2RightDown__10dLineMng_cFv
  0x800c70d0  initializeState_Circle4x4Rightup__10dLineMng_cFv
  0x800c7110  finalizeState_Circle4x4Rightup__10dLineMng_cFv
  0x800c7120  executeState_Circle4x4Rightup__10dLineMng_cFv
  0x800c7130  initializeState_Circle4x4LeftUp__10dLineMng_cFv
  0x800c7170  finalizeState_Circle4x4LeftUp__10dLineMng_cFv
  0x800c7180  executeState_Circle4x4LeftUp__10dLineMng_cFv
  0x800c7190  initializeState_Circle4x4LeftDown__10dLineMng_cFv
  0x800c71d0  finalizeState_Circle4x4LeftDown__10dLineMng_cFv
  0x800c71e0  executeState_Circle4x4LeftDown__10dLineMng_cFv
  0x800c71f0  initializeState_Circle4x4RightDown__10dLineMng_cFv
  0x800c7230  finalizeState_Circle4x4RightDown__10dLineMng_cFv
  0x800c7240  executeState_Circle4x4RightDown__10dLineMng_cFv
  0x800c7250  "initializeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"
  0x800c7270  "finalizeState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"
  0x800c72e0  "isSubState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"
  0x800c7300  "returnState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"   <-- defined too late
  0x800c7360  "getOldStateID__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"   <-- defined too late
  0x800c7380  "build__26sFStateFct_c<10dLineMng_c>FRC12sStateIDIf_c"   <-- defined too late
  0x800c73e0  "dispose__26sFStateFct_c<10dLineMng_c>FRP10sStateIf_c"   <-- defined too late
  0x800c73f0  "initialize__23sFState_c<10dLineMng_c>Fv"   <-- defined too late
  0x800c7410  "execute__23sFState_c<10dLineMng_c>Fv"   <-- defined too late
  0x800c7430  "finalize__23sFState_c<10dLineMng_c>Fv"   <-- defined too late
  0x800c7450  "refreshState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>Fv"   <-- defined too late
  0x800c7470  "changeToSubState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>FRC12sStateIDIf_c"   <-- defined too late
  0x800c7490  "getState__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"
  0x800c74b0  "getNewStateID__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"
  0x800c74d0  "getMainStateID__91sStateStateMgr_c<10dLineMng_c,12sFStateMgr_c,20sStateMethodUsr_FI_c,20sStateMethodUsr_FI_c>CFv"
  0x800c74e0  "initializeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"
  0x800c74f0  "executeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"
  0x800c7500  "finalizeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"
  0x800c7510  "changeState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>FRC12sStateIDIf_c"
  0x800c7520  "refreshState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>Fv"
  0x800c7530  "getState__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
  0x800c7540  "getNewStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
  0x800c7550  "getStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
  0x800c7560  "getOldStateID__79sStateMgr_c<10dLineMng_c,20sStateMethodUsr_FI_c,12sFStateFct_c,13sStateIDChk_c>CFv"
  0x800c7570  "finalizeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"
  0x800c75a0  "executeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"
  0x800c75d0  "initializeState__25sFStateID_c<10dLineMng_c>CFR10dLineMng_c"
  0x800c88b0  "__dt__25sFStateID_c<10dLineMng_c>Fv"
  0x800c8910  "isSameName__25sFStateID_c<10dLineMng_c>CFPCc"
